row_index,source,year,dat_score,between_unit_posaware,uniqueness_human_agnostic,in_reference_pool
108,olson_pnas2021,2022,90.762558,88.018455,,1
109,olson_pnas2021,2022,77.118149,78.540538,,1
110,olson_pnas2021,2022,72.921738,76.677311,77.268920,0
111,olson_pnas2021,2022,85.361496,86.444650,86.558063,0
112,olson_pnas2021,2022,85.426453,79.861668,81.331448,0
113,olson_pnas2021,2022,78.251984,79.248971,79.581615,0
114,olson_pnas2021,2022,87.485001,82.253942,,1
115,olson_pnas2021,2022,81.614426,81.150752,,1
116,olson_pnas2021,2022,72.141174,75.642689,76.561635,0
117,olson_pnas2021,2022,84.234253,79.418359,,1
118,olson_pnas2021,2022,86.313217,82.406981,,1
119,olson_pnas2021,2022,85.892815,83.927718,84.132816,0
120,olson_pnas2021,2022,85.473442,,,0
121,olson_pnas2021,2022,74.107758,76.369715,,1
122,olson_pnas2021,2022,74.658859,77.449853,,1
123,olson_pnas2021,2022,81.205124,79.078372,80.134001,0
124,olson_pnas2021,2022,87.080605,84.617038,84.450635,0
125,olson_pnas2021,2022,74.943306,77.446759,78.276615,0
126,olson_pnas2021,2022,87.339317,82.338340,,1
127,olson_pnas2021,2022,72.975189,79.789641,79.397801,0
128,olson_pnas2021,2022,87.076065,85.878078,,1
129,olson_pnas2021,2022,51.018097,75.440463,76.571889,0
130,olson_pnas2021,2022,89.913956,86.866362,87.881048,0
131,olson_pnas2021,2022,74.720505,78.857568,,1
132,olson_pnas2021,2022,76.947510,78.850293,,1
133,olson_pnas2021,2022,75.004425,80.387530,81.751937,0
134,olson_pnas2021,2022,78.434990,79.563148,,1
135,olson_pnas2021,2022,79.267975,78.063705,,1
136,olson_pnas2021,2022,88.541031,83.558985,82.885727,0
137,olson_pnas2021,2022,71.254036,76.950394,,1
138,olson_pnas2021,2022,76.381645,79.530084,,1
139,olson_pnas2021,2022,82.359283,79.453582,,1
140,olson_pnas2021,2022,75.161591,79.365598,79.039864,0
141,olson_pnas2021,2022,82.641876,81.256531,,1
142,olson_pnas2021,2022,84.851372,81.331539,,1
143,olson_pnas2021,2022,92.673218,85.093769,,1
144,olson_pnas2021,2022,77.574745,77.468738,79.291824,0
145,olson_pnas2021,2022,80.008629,82.017844,82.261596,0
146,olson_pnas2021,2022,83.295563,86.202328,,1
147,olson_pnas2021,2022,88.462639,84.955364,,1
148,olson_pnas2021,2022,86.467346,81.053481,81.093568,0
149,olson_pnas2021,2022,83.948616,82.190753,,1
150,olson_pnas2021,2022,88.556496,82.470914,82.866798,0
151,olson_pnas2021,2022,82.718124,83.732399,85.039181,0
152,olson_pnas2021,2022,75.436073,77.866078,77.920146,0
153,olson_pnas2021,2022,74.864418,80.270896,,1
154,olson_pnas2021,2022,84.564606,83.996780,,1
155,olson_pnas2021,2022,81.646484,82.080986,81.992913,0
156,olson_pnas2021,2022,91.545609,86.436126,87.086758,0
157,olson_pnas2021,2022,76.936897,77.789238,,1
158,olson_pnas2021,2022,75.923416,77.812975,,1
159,olson_pnas2021,2022,80.273193,78.478167,78.428058,0
160,olson_pnas2021,2022,70.950645,78.582042,78.114362,0
161,olson_pnas2021,2022,73.897812,78.294272,,1
162,olson_pnas2021,2022,84.062813,80.557574,,1
163,olson_pnas2021,2022,74.735748,79.226867,,1
164,olson_pnas2021,2022,78.455780,77.295366,78.248676,0
165,olson_pnas2021,2022,81.449860,80.741837,80.748241,0
166,olson_pnas2021,2022,69.262383,75.132870,75.297436,0
167,olson_pnas2021,2022,78.102150,80.580955,81.364287,0
168,olson_pnas2021,2022,78.737396,80.731787,,1
169,olson_pnas2021,2022,72.386314,74.868223,,1
170,olson_pnas2021,2022,68.205048,78.264375,,1
171,olson_pnas2021,2022,71.309784,77.407615,,1
172,olson_pnas2021,2022,73.335350,78.103162,,1
173,olson_pnas2021,2022,83.199158,83.116878,83.252576,0
174,olson_pnas2021,2022,82.796875,81.533281,81.492297,0
175,olson_pnas2021,2022,57.060539,73.112107,,1
176,olson_pnas2021,2022,82.603821,80.256078,,1
177,olson_pnas2021,2022,80.184647,80.073685,,1
178,olson_pnas2021,2022,84.668159,84.132560,,1
179,olson_pnas2021,2022,74.745522,77.462541,79.407657,0
180,olson_pnas2021,2022,60.934948,78.765894,79.506878,0
181,olson_pnas2021,2022,76.076935,77.850969,,1
182,olson_pnas2021,2022,83.115646,83.814258,,1
183,olson_pnas2021,2022,83.742958,80.274513,81.216205,0
184,olson_pnas2021,2022,86.887810,84.083868,85.044718,0
185,olson_pnas2021,2022,74.126503,78.953831,,1
186,olson_pnas2021,2022,76.903816,77.351040,,1
187,olson_pnas2021,2022,84.452354,80.733377,81.713861,0
188,olson_pnas2021,2022,80.784157,81.637922,81.978617,0
189,olson_pnas2021,2022,77.922874,79.284106,,1
190,olson_pnas2021,2022,73.620750,76.835720,,1
191,olson_pnas2021,2022,78.357628,79.993214,79.141192,0
192,olson_pnas2021,2022,86.556244,80.884895,82.054056,0
193,olson_pnas2021,2022,76.056412,81.807942,,1
194,olson_pnas2021,2022,82.788849,79.595345,,1
195,olson_pnas2021,2022,81.900177,80.091108,,1
196,olson_pnas2021,2022,69.703247,77.315115,77.441026,0
197,olson_pnas2021,2022,83.835899,81.404698,,1
198,olson_pnas2021,2022,79.009148,80.225583,,1
199,olson_pnas2021,2022,80.916512,83.841208,83.676927,0
200,olson_pnas2021,2022,75.920830,78.111740,,1
201,olson_pnas2021,2022,82.191132,87.982590,87.340635,0
202,olson_pnas2021,2022,77.998940,79.186320,78.473623,0
203,olson_pnas2021,2022,78.793457,78.296854,,1
204,olson_pnas2021,2022,82.246307,80.504408,80.951802,0
205,olson_pnas2021,2022,84.277046,80.654603,82.017368,0
206,olson_pnas2021,2022,81.235626,83.203189,,1
207,olson_pnas2021,2022,85.314468,81.533184,81.801022,0
208,olson_pnas2021,2022,55.320007,76.227773,76.391185,0
209,olson_pnas2021,2022,87.286812,83.210189,83.577440,0
210,olson_pnas2021,2022,84.276703,80.848027,,1
211,olson_pnas2021,2022,70.637863,76.552854,76.645242,0
212,olson_pnas2021,2022,63.518505,78.122481,79.069895,0
213,olson_pnas2021,2022,79.932938,83.933186,83.231793,0
214,olson_pnas2021,2022,77.237083,80.084385,,1
215,olson_pnas2021,2022,74.168617,77.916695,78.246445,0
216,olson_pnas2021,2022,77.566322,77.288436,,1
217,olson_pnas2021,2022,76.150826,76.587351,,1
218,olson_pnas2021,2022,78.019249,78.454635,78.105607,0
219,olson_pnas2021,2022,81.316063,78.781705,,1
220,olson_pnas2021,2022,85.121254,82.062870,82.009799,0
221,olson_pnas2021,2022,75.053825,78.648407,78.081096,0
222,olson_pnas2021,2022,72.587570,77.249138,,1
223,olson_pnas2021,2022,79.471985,78.874527,79.018173,0
224,olson_pnas2021,2022,77.070587,79.179922,80.503800,0
225,olson_pnas2021,2022,71.943581,74.642680,,1
226,olson_pnas2021,2022,79.226250,80.182227,80.363330,0
227,olson_pnas2021,2022,79.240707,80.224267,80.608719,0
228,olson_pnas2021,2022,82.089134,82.638020,,1
229,olson_pnas2021,2022,81.742432,82.093283,81.449445,0
230,olson_pnas2021,2022,78.337219,78.314623,79.955460,0
231,olson_pnas2021,2022,85.573990,81.881868,82.646903,0
232,olson_pnas2021,2022,73.387321,76.428604,,1
233,olson_pnas2021,2022,75.622360,78.503579,,1
234,olson_pnas2021,2022,76.633629,77.402592,79.307115,0
235,olson_pnas2021,2022,83.104012,79.953455,,1
236,olson_pnas2021,2022,80.504623,83.451578,82.929542,0
237,olson_pnas2021,2022,80.433228,81.132316,81.220010,0
238,olson_pnas2021,2022,83.539688,87.726680,87.335249,0
239,olson_pnas2021,2022,77.906418,77.214649,77.503462,0
240,olson_pnas2021,2022,75.497108,77.758071,77.401786,0
241,olson_pnas2021,2022,84.732384,81.374145,,1
242,olson_pnas2021,2022,80.449608,82.055790,81.569569,0
243,olson_pnas2021,2022,70.731041,76.395023,76.896056,0
244,olson_pnas2021,2022,76.724884,77.627867,78.679417,0
245,olson_pnas2021,2022,85.327133,80.900945,81.263391,0
246,olson_pnas2021,2022,74.179390,76.077219,,1
247,olson_pnas2021,2022,69.753609,78.011380,78.004123,0
248,olson_pnas2021,2022,82.793045,80.311249,80.503487,0
249,olson_pnas2021,2022,86.557816,83.553044,83.380964,0
250,olson_pnas2021,2022,73.514954,80.509474,,1
251,olson_pnas2021,2022,86.730675,82.582570,83.096118,0
252,olson_pnas2021,2022,78.483185,79.410798,,1
253,olson_pnas2021,2022,80.673370,79.835394,,1
254,olson_pnas2021,2022,76.291000,78.667665,,1
255,olson_pnas2021,2022,74.277946,79.204027,79.734818,0
256,olson_pnas2021,2022,72.546669,77.284511,77.058926,0
257,olson_pnas2021,2022,82.906967,80.565757,81.368049,0
258,olson_pnas2021,2022,76.295647,77.874083,,1
259,olson_pnas2021,2022,76.794762,78.273442,79.784250,0
260,olson_pnas2021,2022,79.511436,78.143132,79.939475,0
261,olson_pnas2021,2022,84.702698,82.715884,82.977401,0
262,olson_pnas2021,2022,78.805313,79.621842,,1
263,olson_pnas2021,2022,67.601303,75.594484,76.846770,0
264,olson_pnas2021,2022,75.488762,79.337679,,1
265,olson_pnas2021,2022,78.378883,79.715313,,1
266,olson_pnas2021,2022,88.009125,83.541386,83.861314,0
267,olson_pnas2021,2022,85.024734,83.153032,,1
268,olson_pnas2021,2022,83.592697,82.359187,82.236981,0
269,olson_pnas2021,2022,80.033493,,,0
270,olson_pnas2021,2022,80.262520,80.842505,,1
271,olson_pnas2021,2022,81.472939,80.310572,,1
272,olson_pnas2021,2022,73.307976,79.444076,,1
273,olson_pnas2021,2022,72.688538,76.047746,76.744318,0
274,olson_pnas2021,2022,73.124672,77.451601,77.419824,0
275,olson_pnas2021,2022,83.588570,79.904393,80.433141,0
276,olson_pnas2021,2022,75.729317,79.753012,80.267516,0
277,olson_pnas2021,2022,76.699814,78.426882,,1
278,olson_pnas2021,2022,71.391762,77.739657,,1
279,olson_pnas2021,2022,78.310822,78.774202,,1
280,olson_pnas2021,2022,78.352600,77.463889,,1
281,olson_pnas2021,2022,77.665298,80.275570,,1
282,olson_pnas2021,2022,83.550598,81.050903,,1
283,olson_pnas2021,2022,80.989998,79.424524,80.561008,0
284,olson_pnas2021,2022,78.028366,80.657281,,1
285,olson_pnas2021,2022,75.746567,76.066766,,1
286,olson_pnas2021,2022,82.853470,83.321924,,1
287,olson_pnas2021,2022,83.783562,80.785179,81.505590,0
288,olson_pnas2021,2022,79.360947,80.790087,,1
289,olson_pnas2021,2022,77.800385,,,0
290,olson_pnas2021,2022,81.604507,80.372983,,1
291,olson_pnas2021,2022,93.919167,89.679335,90.445681,0
292,olson_pnas2021,2022,86.075455,81.265789,,1
293,olson_pnas2021,2022,81.108383,79.871688,80.341268,0
294,olson_pnas2021,2022,71.154060,78.782800,,1
295,olson_pnas2021,2022,81.678596,79.927708,,1
296,olson_pnas2021,2022,71.876030,79.957461,,1
297,olson_pnas2021,2022,80.827400,78.935979,80.058715,0
298,olson_pnas2021,2022,74.212753,76.696135,77.593199,0
299,olson_pnas2021,2022,84.177986,81.284806,,1
300,olson_pnas2021,2022,82.615616,80.735553,,1
301,olson_pnas2021,2022,76.946419,77.286159,,1
302,olson_pnas2021,2022,87.271980,83.534012,83.371331,0
303,olson_pnas2021,2022,71.528519,78.415241,,1
304,olson_pnas2021,2022,72.856972,78.416578,,1
305,olson_pnas2021,2022,78.106346,78.629943,,1
306,olson_pnas2021,2022,70.609352,77.063067,76.646399,0
307,olson_pnas2021,2022,79.536491,79.926298,79.646935,0
308,olson_pnas2021,2022,70.685928,74.869482,77.363609,0
309,olson_pnas2021,2022,77.726707,77.602978,79.568074,0
310,olson_pnas2021,2022,73.015129,75.842843,76.111930,0
311,olson_pnas2021,2022,76.378250,78.419396,78.464196,0
312,olson_pnas2021,2022,87.127182,83.728919,83.833562,0
313,olson_pnas2021,2022,76.309303,80.447387,,1
314,olson_pnas2021,2022,84.632584,81.876169,81.748338,0
315,olson_pnas2021,2022,84.997955,81.546598,81.433842,0
316,olson_pnas2021,2022,57.127319,80.502177,,1
317,olson_pnas2021,2022,72.527573,75.455891,,1
318,olson_pnas2021,2022,74.236732,76.884672,,1
319,olson_pnas2021,2022,80.815750,80.789321,,1
320,olson_pnas2021,2022,77.834801,80.227251,79.360357,0
321,olson_pnas2021,2022,76.590485,78.545213,,1
322,olson_pnas2021,2022,82.216980,79.602353,80.379459,0
323,olson_pnas2021,2022,73.495102,76.813947,76.611525,0
324,olson_pnas2021,2022,79.219536,79.541265,80.494300,0
